行业名称,日期,相对强弱_X,动量_Y,突破动能得分_气泡大小,板块5日平均涨幅
焦煤,2026-06-17,1.17,11.7,0.0,-3.14
煤炭,2026-06-17,6.37,11.7,0.0,-2.97
焦炭Ⅱ,2026-06-17,-8.19,11.19,0.0,-13.06
工程机械,2026-06-17,13.99,9.45,0.0,6.7
油气开采Ⅱ,2026-06-17,-3.92,8.55,0.0,-26.37
其他饰品,2026-06-17,1.76,8.39,0.0,-12.0
电池化学品,2026-06-17,21.29,8.26,0.0,0.1
风力发电,2026-06-17,-3.16,8.17,0.0,-10.42
电子化学品Ⅱ,2026-06-17,26.18,7.95,0.0,53.77
航海装备Ⅲ,2026-06-17,13.46,7.3,0.0,-10.27
保险Ⅱ,2026-06-17,-2.39,6.87,0.0,-6.13
公用事业,2026-06-17,0.12,6.78,0.0,-10.22
氮肥,2026-06-17,-0.74,6.7,0.0,-27.17
火力发电,2026-06-17,0.7,6.51,0.0,17.13
农用机械,2026-06-17,2.74,6.46,0.0,-11.05
白色家电,2026-06-17,3.88,6.18,0.0,7.78
光伏发电,2026-06-17,-3.48,6.07,0.0,-16.37
固废治理,2026-06-17,0.39,5.4,0.0,-10.0
电子,2026-06-17,13.44,5.24,0.0,27.96
金融控股,2026-06-17,-4.87,4.72,0.0,-19.71
石油石化,2026-06-17,3.96,4.7,0.0,-11.45
会展服务,2026-06-17,-4.7,4.62,0.0,-3.49
电信运营商,2026-06-17,0.25,4.53,0.0,-3.09
玻纤制造,2026-06-17,32.49,4.46,0.0,67.1
电动乘用车,2026-06-17,-4.58,4.45,0.0,-19.56
光伏辅材,2026-06-17,-3.94,4.44,0.0,-2.6
其他家电Ⅱ,2026-06-17,-2.38,4.37,0.0,-13.45
玻璃玻纤,2026-06-17,-1.35,4.15,0.0,11.71
纺织服装设备,2026-06-17,7.07,3.81,0.0,20.78
工程机械整机,2026-06-17,1.97,3.62,0.0,-10.12
房地产,2026-06-17,3.22,3.6,0.0,-6.52
食用菌,2026-06-17,4.58,3.6,0.0,-16.71
化学原料,2026-06-17,0.1,3.53,0.0,-3.99
商贸零售,2026-06-17,0.86,3.5,0.0,-9.1
啤酒,2026-06-17,1.04,3.36,0.0,-10.91
油气及炼化工程,2026-06-17,-5.74,3.26,0.0,-13.54
多业态零售,2026-06-17,-0.86,3.15,0.0,-12.64
面板,2026-06-17,9.36,3.12,0.0,21.64
钢结构,2026-06-17,-3.5,3.11,0.0,-12.58
多元金融,2026-06-17,4.07,3.07,0.0,-11.06
火电设备,2026-06-17,1.94,3.07,0.0,2.2
旅游零售Ⅱ,2026-06-17,-5.2,3.03,0.0,-15.58
油服工程,2026-06-17,-10.71,3.0,0.0,-17.45
调味发酵品Ⅱ,2026-06-17,4.7,2.97,0.0,-6.24
其他石化,2026-06-17,4.59,2.9,0.0,-15.04
环保,2026-06-17,0.06,2.83,0.0,-12.08
其他电子Ⅱ,2026-06-17,7.88,2.8,0.0,18.72
厨卫电器,2026-06-17,-10.35,2.77,0.0,-20.86
电力设备,2026-06-17,2.67,2.76,0.0,-9.35
电力,2026-06-17,-3.09,2.72,0.0,-3.99
产业地产,2026-06-17,-2.43,2.67,0.0,-12.5
非银金融,2026-06-17,-1.14,2.67,0.0,-0.25
汽车综合服务,2026-06-17,3.26,2.6,0.0,-17.18
消费电子零部件及组装,2026-06-17,13.58,2.6,0.0,6.1
信托,2026-06-17,-1.46,2.56,0.0,-10.58
非白酒,2026-06-17,-0.94,2.54,0.0,-8.89
水泥,2026-06-17,-3.31,2.53,0.0,-8.03
成品家居,2026-06-17,-1.13,2.52,0.0,-10.03
输变电设备,2026-06-17,-3.18,2.45,0.0,-10.49
计算机,2026-06-17,2.46,2.3,0.0,-8.67
建筑材料,2026-06-17,4.53,2.22,0.0,-2.59
钾肥,2026-06-17,0.83,2.19,0.0,-17.67
综合包装,2026-06-17,1.05,2.18,0.0,-10.23
白酒Ⅱ,2026-06-17,-5.57,2.14,0.0,-18.38
冰洗,2026-06-17,-2.38,2.13,0.0,-2.43
印制电路板,2026-06-17,32.24,2.06,0.0,49.15
金属包装,2026-06-17,8.93,2.0,0.0,-10.87
纺织服饰,2026-06-17,3.63,1.97,0.0,-6.56
食品饮料,2026-06-17,0.01,1.94,0.0,-9.42
机场,2026-06-17,-3.94,1.92,0.0,-9.75
机械设备,2026-06-17,11.04,1.91,0.0,12.95
游戏Ⅱ,2026-06-17,-0.95,1.86,0.0,-13.9
商业地产,2026-06-17,0.08,1.8,0.0,-4.62
美容护理,2026-06-17,-5.38,1.77,0.0,-13.3
零食,2026-06-17,3.79,1.77,0.0,-10.03
医药商业,2026-06-17,-2.41,1.74,0.0,-15.33
航运港口,2026-06-17,-4.74,1.74,0.0,-12.9
卫浴制品,2026-06-17,-4.64,1.73,0.0,-13.97
消费电子,2026-06-17,0.96,1.68,0.0,-7.77
定制家居,2026-06-17,-2.34,1.56,0.0,-19.7
有色金属,2026-06-17,17.5,1.48,0.0,13.11
清洁小家电,2026-06-17,1.86,1.48,0.0,-9.46
综合,2026-06-17,-1.1,1.43,0.0,-13.51
镍,2026-06-17,9.85,1.41,0.0,-18.49
有机硅,2026-06-17,4.37,1.38,0.0,8.08
烘焙食品,2026-06-17,-1.23,1.37,0.0,-14.71
楼宇设备,2026-06-17,-0.24,1.34,0.0,-10.16
涤纶,2026-06-17,1.49,1.26,0.0,-17.74
仪器仪表,2026-06-17,0.03,1.25,0.0,-8.06
预加工食品,2026-06-17,2.14,1.23,0.0,-16.17
生物制品,2026-06-17,-2.9,1.2,0.0,-16.95
其他化学制品,2026-06-17,4.43,1.17,0.0,5.7
磷肥及磷化工,2026-06-17,2.28,1.09,0.0,-13.47
银行Ⅱ,2026-06-17,-0.65,1.07,0.0,-2.51
股份制银行Ⅲ,2026-06-17,-5.64,1.06,0.0,-2.73
交通运输,2026-06-17,-3.02,1.03,0.0,-9.81
家居用品,2026-06-17,-0.26,1.03,0.0,-5.59
汽车服务,2026-06-17,-2.18,1.02,0.0,-13.6
乘用车,2026-06-17,-7.95,1.01,0.0,-21.74
其他纺织,2026-06-17,11.01,0.97,0.0,-15.68
农商行Ⅲ,2026-06-17,-2.69,0.97,0.0,-8.73
造纸,2026-06-17,5.94,0.87,0.0,-11.4
环保设备Ⅱ,2026-06-17,9.35,0.86,0.0,-6.58
复合肥,2026-06-17,-0.4,0.81,0.0,-21.9
光伏主材,2026-06-17,-5.61,0.78,0.0,-25.95
建筑装饰,2026-06-17,2.09,0.76,0.0,-7.12
改性塑料,2026-06-17,6.43,0.69,0.0,19.58
厨房小家电,2026-06-17,0.87,0.68,0.0,-2.73
橡胶助剂,2026-06-17,8.49,0.61,0.0,19.31
钛白粉,2026-06-17,0.45,0.41,0.0,-8.44
元件,2026-06-17,18.75,0.39,0.0,95.52
照明设备Ⅱ,2026-06-17,8.68,0.37,0.0,1.52
房地产服务,2026-06-17,-0.41,0.28,0.0,-16.2
横向通用软件,2026-06-17,-5.06,0.28,0.0,-25.18
配电设备,2026-06-17,-3.17,0.28,0.0,-9.37
商用载货车,2026-06-17,2.07,0.2,0.0,-14.11
公交,2026-06-17,-8.52,0.17,0.0,-16.0
综合电力设备商,2026-06-17,1.06,0.09,0.0,-16.03
纯碱,2026-06-17,-0.66,0.06,0.0,-21.07
数字媒体,2026-06-17,2.66,0.05,0.0,2.81
大宗用纸,2026-06-17,-2.18,0.01,0.0,-17.16
家用电器,2026-06-17,5.42,-0.04,0.0,-1.9
蓄电池及其他电池,2026-06-17,17.53,-0.08,0.0,-1.24
电池,2026-06-17,12.93,-0.18,0.0,-5.05
农林牧渔,2026-06-17,-1.7,-0.24,0.0,-15.36
彩电,2026-06-17,7.96,-0.28,0.0,-6.54
专用设备,2026-06-17,1.36,-0.34,0.0,-11.21
基础化工,2026-06-17,4.48,-0.34,0.0,6.93
航运,2026-06-17,-4.76,-0.34,0.0,-5.22
能源及重型设备,2026-06-17,-0.49,-0.37,0.0,-11.17
光学光电子,2026-06-17,4.44,-0.46,0.0,1.95
人力资源服务,2026-06-17,-4.5,-0.47,0.0,-19.15
制冷空调设备,2026-06-17,3.08,-0.56,0.0,-5.27
其他农产品加工,2026-06-17,-3.13,-0.57,0.0,-14.69
文化用品,2026-06-17,-6.29,-0.61,0.0,-9.03
钢铁,2026-06-17,-1.18,-0.79,0.0,-14.43
通用设备,2026-06-17,2.69,-0.83,0.0,-2.35
通信设备,2026-06-17,7.78,-0.84,0.0,1.51
普钢,2026-06-17,-3.94,-0.85,0.0,-16.13
水泥制造,2026-06-17,-5.69,-0.85,0.0,-14.98
传媒,2026-06-17,-1.86,-0.91,0.0,-13.73
贸易Ⅱ,2026-06-17,-6.69,-0.96,0.0,-14.82
板材,2026-06-17,-5.98,-0.97,0.0,-17.23
社会服务,2026-06-17,-3.0,-0.98,0.0,-14.31
粮食种植,2026-06-17,-3.42,-0.98,0.0,-15.39
其他化学原料,2026-06-17,-4.51,-0.99,0.0,-3.25
餐饮,2026-06-17,-3.57,-1.01,0.0,-19.21
轻工制造,2026-06-17,1.91,-1.02,0.0,-13.59
租赁,2026-06-17,0.49,-1.03,0.0,-12.5
血液制品,2026-06-17,-9.59,-1.06,0.0,-13.86
汽车,2026-06-17,0.54,-1.09,0.0,-9.33
跨境物流,2026-06-17,-4.2,-1.14,0.0,-15.6
基础建设,2026-06-17,-6.72,-1.15,0.0,-12.78
厨房电器,2026-06-17,-8.3,-1.27,0.0,-14.76
专业连锁Ⅲ,2026-06-17,4.21,-1.32,0.0,-21.58
个护用品,2026-06-17,-3.05,-1.35,0.0,-18.2
聚氨酯,2026-06-17,-1.43,-1.41,0.0,-19.69
轨交设备Ⅱ,2026-06-17,-1.22,-1.47,0.0,-2.1
超市,2026-06-17,-6.84,-1.49,0.0,-9.63
综合电商,2026-06-17,-1.69,-1.53,0.0,-19.55
辅料,2026-06-17,-2.02,-1.75,0.0,-7.5
通信,2026-06-17,1.6,-1.75,0.0,-12.03
门户网站,2026-06-17,-1.29,-1.83,0.0,0.41
旅游及景区,2026-06-17,-10.36,-1.85,0.0,-16.0
食品及饲料添加剂,2026-06-17,-5.68,-1.96,0.0,-14.56
